category,image,sub_category,product_name,price,about,how_to,ingredients
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/slides-2-1648127695.png,COLORFIT,NEW! Wardah Bundle Colorfit Lip Paint - Dazzling New York,99180,NEW! Wardah Special Bundle Colorfit Lip Paint - Dazzling New York,Ready-to-go travel pack make up to experience cities around the world,
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/slides-2-1648127477.png,COLORFIT,NEW! Wardah Bundle Colorfit Lip Paint - Royal London,179580,NEW! Wardah Special Bundle Colorfit Lip Paint - Royal London,Ready-to-go travel pack make up to experience cities around the world,
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1647485510.png,"COLORFIT, LIPS",Colorfit Last All Day Lip Paint Around the World,62985,Colorfit Last All Day Lip Paint Around the World LIMITED EDITION is the only halal matte lip cream with non-transfer formula and intense colors that lasts up to 12 hours with the result that intense non-transfer lip color that lasts all day.,"Aplikasikan lipstik pada bibir., Gunakan aplikator untuk merapikan pulasan lipstik hingga ke bagian ujung bibir dengan one swipe coverage, Gunakan hingga seluruh warna merata di bibir cantikmu.","Isododecane, Bis-Hydroxylauryl Dimethicone/IPDI Copolymer, Cyclopentasiloxane, Trisiloxane, Trimethylsiloxysilicate, Diisostearyl Malate, Hydrated Silica, Silica Dimethyl Silylate, Disteardimonium Hectorite, Cyclohexasiloxane, Propylene Carbonate, Phenoxyethanol, Ethylhexylglycerin, Aluminum Hydroxide, Tocopheryl Acetate, Triethoxycaprylylsilane, Fragrance, Cyclotetrasiloxane, Tocopherol. May Contain :CI 77891, CI 77492, CI 15850:2, CI 15850:1, CI 77499, CI 77491, CI 15850, CI 42090."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1647333599.png,COLORFIT,Colorfit Perfect Glow Cushion,101650,"Colorfit Perfect Glow Cushion merupakan base makeup dengan radiant (glow) finish dan formula yang ringan sehingga mampu menyatu dengan baik pada wajah untuk memberikan tampilan healthy-glow finish. Diformulasikan khusus dengan SkinMatch Technology untuk dapat menyatu sempurna dengan warna natural kulit dan memberikan high coverage untuk menutupi ketidaksempurnaan pada wajah. No greasy, no cakey, less oxidized formula.","Ambil bulk menggunakan puff yang disediakan dengan cara di tekan pada sponge, Aplikasikan cushion ke wajah dengan cara di tap-tap secara halus untuk hasil coverage yang optimal dan merata, Hindari gerakan menggeser agar hasilnya dapat lebih menyatu dengan kulit, Tutup rapat cushion setelah pemakaian","SkinMatch Technology
Glow Perfecting Pigment"
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1645442966.webp,LIPS,Everyday! Matte Lip Shot,46000,Quick set lip cream dengan hasil matte yang diformulasikan dengan quickset volatile oils yang mampu dengan cepat nge-set di bibir. Mengandung vitamin C yang dapat membuat bibir tetap healthy saat online meeting atau online class. Didesign dengan 5 spesial camera ready shades yang membuat tampilan lebih nge-pop di kameran dan digital screen.,Aplikasikan Everyday! Matte Lip Shot dengan aplikator secara merata pada bibir,
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1644227185.png,FACE,Lightening Liquid Foundation 6ml,18500,"Wardah Lightening Liquid Foundation adalah liquid foundation yang terasa ringan dan nyaman digunakan sehari-hari. Memilki coverage medium, mencerahkan, dan tahan lama hingga 12 jam.","1. Aplikasikan Wardah Lightening Liquid Foundation secukupnya pada wajah, 2. Ratakan ke seluruh wajah menggunakan tangan/brush/ sponge, 3. Wajah cerahmu siap untuk menjalani aktivitas","Aqua, Cyclopentasiloxane, Dimethicone, Propanediol, Ethylhexyl Methoxycinnamate, Phenyl Trimethicone, Niacinamide, Polymethyl Methacrylate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Trehalose, PEG/PPG-18/18 Dimethicone, Magnesium Sulfate, Divinyldimethicone/Dimethicone Crosspolymer, Phenoxyethanol, Polyhydroxystearic Acid, Polymethylsilsesquioxane, Silica, Sorbitan Olivate, Tocopheryl Acetate, Aluminum Hydroxide, Hydrogen Dimethicone, Allantoin, Zinc Gluconate, Ethylhexylglycerin, Methicone, Disodium EDTA. May Contain :CI 77891, CI 77492, CI 77491, CI 77499."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1647060273.png,EYE,Eyexpert Matic Brow Definer,50000,"Produk pensil alis mekanik dengan ujung berbentuk oval pipih sehingga memudahkan untuk menggambar alis secara presisi. Dengan tekstur powdery dan smooth, serta intensitas yang natural menjadikan alis tampak cantik natural. Waterproof, wudhu friendly, serta tahan lama hingga 8 jam.","Rapikan alis dengan bagian spoolie, gambar bingkai alis dengan ujung pensil, isi bagian dalam alis, kemudian baurkan pensil dengan spoolie.",
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1648120375.png,"COLORFIT, FACE",Colorfit Cream Blush,45900,"Cream Blush with cream to powder texture. Infused with Vitamin E. Airy light and smooth creamy consistency allow blush to easily blend on skin or foundation. Glow Color pigment, gives intense long lasting color. Fresh blushing looks for up to 8 hours!",Aplikasikan Wardah Colorfit Cream Blush di area pipi dengan mengoleskan cream blush menggunakan jari/sponge. Colorfit Cream Blush dapat diaplikasikan setelah menggunakan foundation maupun bedak.,
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1633012689.png,"COLORFIT, LIPS",Colorfit Fresh Lip Ink Serum,57150,"The Next Level of Lip Ink! Lip Ink Serum Infused with sunflower & jojoba oil, with watery texture. Make your dreams come true with 8 fresh matte lip colors that give you the ultimate bare lip sensation and a healthy lip look to freshen up your day wherever you are! ","Aplikasikan lipstik pada bibir., Gunakan aplikator untuk merapikan pulasan lipstik hingga ke bagian ujung bibir dengan one swipe coverage, Gunakan hingga seluruh warna merata di bibir cantikmu.",
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1618798985.png,"COLORFIT, FACE",Colorfit Matte Foundation,64800,Wardah Colorfit Matte Foundation merupakan matte foundation dengan SPF 30 PA+++ yang ringan dan memberikan coverage tahan lama serta tidak transfer. Diformulasikan khusus dengan SkinMatch Technology untuk dapat menyatu sempurna dengan warna natural kulit dan memberikan efek oil control pada wajah.,"1. Aplikasikan Wardah Colorfit Matte Foundation pada wajah dengan tangan, 2. Baurkan hingga merata dengan spons atau kuas sesuai dengan hasil yang diinginkan","Aqua, Cyclopentasiloxane, Isododecane, Methyl Methacrylate Crosspolymer, Dimethicone, Ethylhexyl Methoxycinnamate, Caprylyl Methicone, Trimethylsiloxysilicate, Butylene Glycol, PEG-9 Polydimethylsiloxyethyl Dimethicone, Titanium Dioxide, Dicaprylyl Carbonate, Hydrogenated Polyisobutene, Sodium Chloride, Phenoxyethanol, Pentylene Glycol, Tocopheryl Acetate, Triethoxycaprylylsilane, Divinyldimethicone/Dimethicone Crosspolymer, Hydrated Silica, Silica, Disteardimonium Hectorite, Aluminum Hydroxide, Propylene Carbonate, BHT, Ethylhexylglycerin, Hydrogenated Lecithin, Cyclotetrasiloxane, Glycerin, Caprylic/Capric Triglyceride, Centella Asiatica Extract, Cholesterol. May Contain : CI 77491, CI 77492, CI 77499, CI 77891."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1616584925.png,"COLORFIT, FACE",Colorfit Velvet Powder Foundation,63450,Wardah Colorfit Velvet Powder Foundation merupakan kombinasi foundation dan bedak yang terasa halus untuk memberikan coverage yang natural namun buildable (dapat diatur untuk medium hingga high coverage). Mampu memberikan finish yang dapat menyatu dengan baik wajah dan mampu menyamarkan pori serta menahan minyak secara tahan lama hingga 12 jam.,"1. Aplikasikan bedak pada wajah dengan menggunakan spons, 2. Lipat spons menjadi dua bagian untuk meratakan powder foundation di daerah bawah mata","Talc, Titanium Dioxide, Ethylhexyl Methoxycinnamate, Silica, Isopropyl Myristate, Nylon-12, Octyldodecanol, Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate, Phenoxyethanol, Triethoxycaprylylsilane, PCA Dimethicone, Aluminum Hydroxide, Dimethicone, HDI/Trimethylol Hexyllactone Crosspolymer, Hydrogen Dimethicone, Polymethyl Methacrylate, Ethylhexylglycerin, Methicone, Fragrance, Tocopheryl Acetate, Glycerin, Caprylic/Capric Triglyceride, Aqua, Centella Asiatica Extract, Tocopherol, Hydrogenated Lecithin, Cholesterol. May Contain: CI 77891, CI 77491, CI 77492, CI 77499, CI 77947."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1655885007.png,COLORFIT,Refill Colorfit Perfect Glow Cushion SPF 33 PA++,82500,"Colorfit Perfect Glow Cushion kemasan refill merupakan base makeup dengan radiant (glow) finish dan formula yang ringan sehingga mampu menyatu dengan baik pada wajah untuk memberikan tampilan healthy-glow finish dengan SPF 33 PA++. Diformulasikan khusus dengan SkinMatch Technology untuk dapat menyatu sempurna dengan warna natural kulit dan memberikan high coverage untuk menutupi ketidaksempurnaan pada wajah. No greasy, no cakey, less oxidized formula.","Ambil bulk menggunakan puff yang disediakan dengan cara di tekan pada sponge, Aplikasikan cushion ke wajah dengan cara di tap-tap secara halus untuk hasil coverage yang optimal dan merata, Hindari gerakan menggeser agar hasilnya dapat lebih menyatu dengan kulit, Tutup rapat cushion setelah pemakaian","SkinMatch Technology
Glow Perfecting Pigment"
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1631589850.png,FACE,Refill Lightening Powder Foundation Extra Cover,41000,Say no more to unmatched shades!,Ulaskan pada wajah dengan cara tap-tap menggunakan sponge.,"Mica, Talc, Titanium Dioxide, Isopropyl Myristate, Silica, Zinc Stearate, Lauroyl Lysine, Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate, Octyldodecanol, Dimethicone, Dimethiconol Stearate, Phenoxyethanol, Triethoxycaprylylsilane, Ethylhexylglycerin, Aluminum Hydroxide, Hydrogen Dimethicone, BHT, Fragrance, Glycyrrhiza Glabra (Licorice) Root Extract, Tocopherol, Methicone. May Contain : CI 77492, CI 77891, CI 77491, CI 77499."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1631589242.png,FACE,Refill BB Cake Powder,59500,"Katakan bye-bye pada kilap berlebih wajahmu dan sapa rona cerahmu dengan Wardah Lightening BB Cake Powder! Bedak padat SPF 15 PA++ dengan Oil-Balancing Beads dan Lightfilter Fillers yang meKatakan bye-bye pada kilap berlebih wajahmu dan sapa rona cerahmu dengan Wardah Lightening BB Cake Powder! Bedak padat SPF 15 PA++ dengan Oil-Balancing Beads dan Lightfilter Fillers yang membuat kulit wajah normal-berminyak tampak bebas kilap, matte, cerah sepanjang hari. Diperkaya dengan Licorice Extract dan Vitamin B3 yang dikenal membantu proses pencerahan kulit wajah natural. Tersedia dalam 3 varian warna Sheer Pink, Light Beige, dan Ivory yang pas untuk setiap rona kulit beauty believer di dalam dirimu! Buat kulit wajah normal-berminyak tampak bebas kilap, matte, cerah sepanjang hari. Diperkaya dengan Licorice Extract dan Vitamin B3 yang dikenal membantu proses pencerahan kulit wajah natural.","Usapkan lembut pada seluruh wajah, terutama T-Zone setelah menggunakan Wardah Lightening BB Cream.","Talc, Titanium Dioxide, Ethylhexyl Methoxycinnamate, Silica, Isopropyl Myristate, Nylon-12, Octyldodecanol, Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate, Zinc Oxide, PCA Dimethicone, Phenoxyethanol, Hydrogen Dimethicone, HDI/Trimethylol Hexyllactone Crosspolymer, Dimethicone, Polymethyl Methacrylate, Ethylhexylglycerin, Triethoxycaprylylsilane, Aluminum Hydroxide, Glycyrrhiza Glabra (Licorice) Root Extract, Methicone, Silicon Dioxide (Silica), Fragrance, Tocopheryl Acetate, Tocopherol.May Contain :CI 77491, CI 77492, CI 77499"
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1631354809.png,FACE,Refill Lightening Powder Foundation,36500,Say no more to unmatched shades!,Ulaskan pada wajah dengan cara tap-tap menggunakan sponge.,"Mica, Talc, Aluminum Starch Octenylsuccinate, Dimethicone, Titanium Dioxide, Diisostearyl Malate, Polymethyl Methacrylate, Dimethiconol Stearate, Triethoxycaprylylsilane, Phenoxyethanol, Silica, Ethylhexylglycerin, Hydrogen Dimethicone, Aluminum Hydroxide, Isopropyl Titanium Triisostearate, Methicone, Fragrance, Tocopheryl Acetate, Glycyrrhiza Glabra (Licorice) Root Extract, Tocopherol. May Contain: CI 77891, CI 77492, CI 77491, CI 77499."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1631353806.png,FACE,Refill Exclusive Two Way Cake,53500,"Lustrous Matte & Velvety Texture. Perpaduan butiran velvet powder dan foundation SPF 15 yang memiliki Soft Focus Agent untuk menyamarkan garis halus dan kerutan, mampu menyerap minyak berlebih sehingga menghasilkan tampilan akhir matte. Wet Process Technology dapat menghasilkan tekstur partikel sangat halus untuk make-up ringan natural tetapi tetap cover sepanjang hari. Dilengkapi dengan Moisture Oleo Complex sebagai extra moisturizer dan antioksidan dalam menjaga kulit tetap sehat.","Gunakan Moisturizer dari Wardah Skin Care Series. Untuk tampilan lebih optimal gunakan terlebih dahulu Foundation, BB Cream atau DD Cream Aplikasikan secara merata pada wajah dan leher menggunakan spons.","Mica, Talc, Titanium Dioxide, Zinc Myristate, Squalane, Dimethicone, Methyl Methacrylate Crosspolymer, PTFE, Silica, Polymethyl Methacrylate, HDI/Trimethylol Hexyllactone Crosspolymer, Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate, Dimethiconol Stearate, Hydrogen Dimethicone, C9-15 Fluoroalcohol Phosphate, Aluminum Hydroxide, Methicone, Quaternium-15, Macadamia Ternifolia Seed Oil, Fragrance, Tocopheryl Acetate, Glycine Soja (Soybean) Oil, Persea Gratissima (Avocado) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Bisabolol, Phenoxyethanol, Isobornyl Acetate, Calendula Officinalis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Fucus Vesiculosus Extract, Triticum Vulgare (Wheat) Bran Extract, BHT, Linoleic Acid, Tocopherol, Triethoxycaprylysilane.May Contain: CI 77891, CI 77492, CI 77491, CI 77499"
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1631353048.png,FACE,Refill Exclusive Flawless Cover Cushion,90000,"Cushion dengan hasil natural glow, full coverage finish yang tahan lama hingga 10 jam dan memiliki Non comedogenic formula yang membuat kulitmu cantik cerah bercahaya serta terlindungi dari paparan sinar matahari karena adanya SPF 30 PA+++",Gunakan dengan puff untuk hasil yang maksimal,"Aqua, Cyclopentasiloxane, Ethylhexyl Methoxycinnamate, Butylene Glycol, Polymethylsilsesquioxane, Isodecyl Neopentanoate, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Titanium Dioxide, Triethoxycaprylylsilane, Octyldodecyl Stearoyl Stearate, PEG-10 Dimethicone, Zinc Oxide, Boron Nitride, Magnesium Sulfate, Phenoxyethanol, Propanediol, Ethylhexyl Palmitate, Polysorbate 80, Disteardimonium Hectorite, Polyhydroxystearic Acid, 1, 2-Hexanediol, Silica, Aluminum Hydroxide, Acrylates/Behenyl Acrylate/Dimethicone Methacrylate Copolymer, Acrylates/Ethylhexyl Acrylate/Dimethicone Methacrylate Copolymer, Macadamia Ternifolia Seed Oil, Persea Gratissima (Avocado) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Calendula Officinalis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Fucus Vesiculosus Extract, Triticum Vulgare (Wheat) Bran Extract, Glycine Soja (Soybean) Oil, Propylene Carbonate, BHT, Linoleic Acid, Disodium EDTA, Dimethicone, Cyclotetrasiloxane, Ethylhexylglycerin, Bisabolol, Tocopherol, Isobornyl Acetate.May Contain :CI 77891, CI 77492, CI 77491, CI 77499."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/slides-2-1648548121.webp,FACE,Exclusive Glowing Highlighter,69500,"Exclusive Glowing Highlighter merupakan highlighter yang memberikan efek glowing natural pada wajah dan tahan lama seharian. Memiliki tekstur yang creamy dengan partikel shimmer yang halus dan warna yang cocok di setiap warna kulit, memberikan efek highlight dimensi wajah yang tampak sempurna.","Gunakan highlighter di step akhir penggunaan make up. Bisa diaplikasikan pada bagian wajah berikut:, Tulang pipi, ujung & tulang hidung, dagu, tulang alis, cupid bow untuk membuat look glowing & wajah tampak berdimensi, bisa juga digunakan di area mata (sudut mata bagian dalam, tulang alis) untuk membuat mata tampak lebih menonjol, atau digunakan di kelopak mata sebagai pengganti eyeshadow, agar mata tampak lebih bersinar.",
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1624980314.png,"COLORFIT, FACE",Colorfit Velvet Powder Foundation Refill,43200,Wardah Colorfit Velvet Powder Foundation merupakan kombinasi foundation dan bedak yang terasa halus untuk memberikan coverage yang natural namun buildable (dapat diatur untuk medium hingga high coverage). Mampu memberikan finish yang dapat menyatu dengan baik wajah dan mampu menyamarkan pori serta menahan minyak secara tahan lama hingga 12 jam.,"1. Aplikasikan bedak pada wajah dengan menggunakan spons, 2. Lipat spons menjadi dua bagian untuk meratakan powder foundation di daerah bawah mata","Talc, Titanium Dioxide, Ethylhexyl Methoxycinnamate, Silica, Isopropyl Myristate, Nylon-12, Octyldodecanol, Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate, Phenoxyethanol, Triethoxycaprylylsilane, PCA Dimethicone, Aluminum Hydroxide, Dimethicone, HDI/Trimethylol Hexyllactone Crosspolymer, Hydrogen Dimethicone, Polymethyl Methacrylate, Ethylhexylglycerin, Methicone, Fragrance, Tocopheryl Acetate, Glycerin, Caprylic/Capric Triglyceride, Aqua, Centella Asiatica Extract, Tocopherol, Hydrogenated Lecithin, Cholesterol. May Contain: CI 77891, CI 77491, CI 77492, CI 77499, CI 77947."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1623141979.png,LIPS,Lip Balm Picnic Limited Edition,18200,"Wardah Lip Balm Picnic Limited Edition merupakan limited edition lip balm wardah yang mengandung Vit.E + UV Protection mampu membuat kulit bibir halus, lembut, tidak pecah-pecah. Dengan tekstur creamy, tidak lengkat, tidak membuat bibir terlihat berminyak. Aroma segar dan menenangkan membuat bibirmu tetap lembab selama 8 jam",Oleskan pada bibir sebelum menggunakan lip product untuk menjaga kelembapannya,"Petrolatum, Ethylhexyl Palmitate, Polyethylene, Bis-Diglyceryl Polyacyladipate-2, Ethylhexyl Methoxycinnamate, Crambe Abyssinica Seed Oil, Ozokerite, Olive (Olea Europaea) Oil, Shea Butter (Butyrospermum Parkii), Phenoxyethanol, Jojoba Esters, Fragrance, Simmondsia Chinensis (Jojoba) Seed Oil, Ethylhexylglycerin, Helianthus Annuus (Sunflower) Seed Wax, Allantoin, Tocopheryl Acetate, BHT, Butylene Glycol, Aloe Vera (Leaf) Extract, Soybean Oil, Vanillyl Butyl Ether, Aqua, Acacia Decurrens Flower Wax, Polyglycerin-3, Vitis Vinifera (Grape) Seed Extract, Tocopherol, CI 45410."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1618805575.png,"COLORFIT, FACE",Colorfit Mattifying Powder,76950,Wardah Colorfit Mattifying Powder merupakan bedak tabur dengan UV A/B Protection yang halus untuk wajah bebas kilap dan hasil akhir matte. Diformulasikan khusus dengan SkinMatch Technology untuk dapat menyatu sempurna dengan warna natural kulitmu dan memberikan efek oil control pada wajah.,"1. Aplikasikan Wardah Colorfit Mattifying Powder pada wajah dengan menggunakan spons atau kuas, 2. Baurkan hingga merata dan sesuai dengan hasil aplikasi yang diinginkan","Talc, Corn (Zea Mays) Starch, Zinc Oxide, Titanium Dioxide, Mica, Zinc Stearate, Phenoxyethanol, Dimethicone, Ethylhexylglycerin, Aluminum Hydroxide, Hydrogen Dimethicone, Fragrance, Glycerin, Caprylic/Capric Triglyceride, Aqua, Centella Asiatica Extract, Tocopherol, Hydrogenated Lecithin, Cholesterol. May Contain : CI 77492, CI 77491, CI 77499."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1623034188.png,"COLORFIT, LIPS",Colorfit Last All Day Lip Paint,59670,Wardah Colorfit Last All Day Lip Paint adalah liquid lip dengan tekstur creamy yang mudah dibaurkan dan intense dalam satu usapan (cover in one stroke). Formulanya yang tidak transfer (transferproof) dan tahan lama (longlasting) hingga 12 jam sehingga nyaman digunakan seharian.,"Aplikasikan lipstik pada bibir., Gunakan aplikator untuk merapikan pulasan lipstik hingga ke bagian ujung bibir dengan one swipe coverage, Gunakan hingga seluruh warna merata di bibir cantikmu.","Isododecane, Bis-Hydroxylauryl Dimethicone/IPDI Copolymer, Cyclopentasiloxane, Trisiloxane, Trimethylsiloxysilicate, Diisostearyl Malate, Hydrated Silica, Silica Dimethyl Silylate, Disteardimonium Hectorite, Cyclohexasiloxane, Propylene Carbonate, Phenoxyethanol, Ethylhexylglycerin, Aluminum Hydroxide, Tocopheryl Acetate, Triethoxycaprylylsilane, Fragrance, Cyclotetrasiloxane, Tocopherol. May Contain :CI 77891, CI 77492, CI 15850:2, CI 15850:1, CI 77499, CI 77491, CI 15850, CI 42090."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1616379794.png,LIPS,Colorfit Velvet Matte Lip Mouse - Women's Day Special Edition,0,"Wardah Colorfit Velvet Matte Lip Mouse merupakan liquid lipstick dengan tekstur mousse yang nyaman dipakai di bibir. Diformulasikan khusus untuk membuat bibirmu nyaman menggunakannya, karena adanya kandungan: ","Gunakan Wardah Lipbalm atau Lipgloss sebelum menggunanakan lipstick yang bertujuan untuk melembabkan bibir., 1. Aplikasikan lipstik di bagian dalam bibir., 2. Gunakan ujung aplikator untuk merapikan pulasan lipstik hingga ke bagian ujung bibir.","Cyclopentasiloxane, Dimethicone, Isododecane, Bis-Hydroxylauryl Dimethicone/IPDI Copolymer, Polyglyceryl-2 Triisostearate, Trimethylsiloxysilicate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, Divinyldimethicone/Dimethicone Crosspolymer, Isohexadecane, Disteardimonium Hectorite, Propylene Carbonate, Phenoxyethanol, Ethylhexylglycerin, Methicone, Tocopheryl Acetate, Aluminum Hydroxide, Triethoxycaprylylsilane, Fragrance, Tocopherol.  May Contain :  CI 45410, CI 15850, CI 15850:1, CI 15850:2, CI 42090, CI 77491, CI 77492, CI 77499, CI 77891."
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1616378606.png,"COLORFIT, LIPS",Colorfit Ultralight Matte Lipstick Korea Edition,39600,"Wardah Colorft Ultralight Matte Lipstick Korea Edition adalah lipstik dengan tekstur powdery yang lembut dan sangat ringan sehingga nyaman dipakai di bibir, dengan warna baru yang terinspirasi dari destinasi wisata di Korea Selatan.","1. Ulaskan di bibir secara merata, 2. Ombre dengan warna Wardah Colorft Ultralight Matte Lipstick Korea Edition lainnya",
MAKE UP,https://wardah-mainsite.s3-ap-southeast-1.amazonaws.com/medias/products/variant-1602825810.png,LIPS,Exclusive Matte Lip Cream X Ayang Cempaka,63000,"Lip cream lembut dengan pilihan warna untuk bibir yang memukau. Dengan colorbinding pigments dan vitamin E, Wardah Exclusive Matte Lip Cream tidak membuat bibir kering dan nyaman dipakai sepanjang hari dan dapat bertahan 6 – 8 jam.

Keunggulan produk ini adalah:
1. Warna intens dalam satu olesan
2. Mudah diaplikasikan dan diratakan
3. Tekstur yang lembut, ringan, dan lembab
4. Hasil matte dan tahan lama",Gunakan Wardah Lip Balm atau Lipgloss sebelum menggunakan lipstik yang bertujuan untuk melembapkan bibir.1. Aplikasikan lipstik di bagian dalam bibir2. Gunakan ujung aplikator untuk merapikan pulasan lipstik hingga ke bagian ujung bibir3. Gunakan hingga seluruh warna merata di bibir cantikmu,
